City,Country,Temperature,Humidity %,Cloudiness %,Wind Speed (mph),Latitude,Longitude,Date
indramayu,ID,79.65,72,66,9.51,-6.33,108.32,1600108109
lasa,IT,66.99,77,5,3.36,46.62,10.7,1600108109
viedma,AR,68.61,23,0,21.9,-40.81,-63.0,1600108109
paamiut,GL,42.15,81,100,24.92,61.99,-49.67,1600108110
butembo,CD,59.16,96,21,2.01,0.15,29.28,1600108110
ozinki,RU,54.88,62,36,7.74,51.18,49.68,1600108110
provideniya,RU,44.8,95,100,6.55,64.38,-173.3,1600108110
jalu,LY,92.84,23,0,12.73,29.03,21.55,1600108110
cairns,AU,68.0,88,75,11.41,-16.92,145.77,1600108110
tual,ID,78.4,75,0,18.37,-5.67,132.75,1600108110
narsaq,GL,44.6,36,75,3.36,60.92,-46.05,1600108111
maxixe,MZ,72.64,81,33,12.1,-23.86,35.35,1600108111
santa ana,US,79.0,69,75,4.7,33.75,-117.87,1600107829
bagdarin,RU,37.4,89,53,1.01,54.43,113.6,1600108111
siderno,IT,78.8,78,29,12.75,38.28,16.3,1600108111
north bend,US,57.99,100,90,5.82,43.41,-124.22,1600108112
aszod,HU,73.0,68,23,5.82,47.65,19.48,1600108112
ladario,BR,96.8,32,0,19.46,-19.0,-57.6,1600108112
amahai,ID,75.63,84,75,4.12,-3.33,128.92,1600108112
buraydah,SA,93.2,15,0,2.24,26.33,43.98,1600108025
bom jesus,BR,96.93,20,42,9.62,-9.07,-44.36,1600108113
luganville,VU,77.0,83,75,2.24,-15.53,167.17,1600108113
aljezur,PT,72.0,82,39,3.0,37.32,-8.8,1600108113
kingaroy,AU,48.2,93,0,3.4,-26.53,151.83,1600108113
kayes,ML,86.0,74,20,2.24,14.0,-11.0,1600108114
requena,ES,73.0,59,93,5.99,39.49,-1.1,1600108114
kawalu,ID,66.94,90,28,1.12,-7.38,108.21,1600108114
mackay,AU,69.8,77,40,14.99,-21.15,149.2,1600108114
kavieng,PG,82.74,78,87,14.94,-2.57,150.8,1600107922
la rioja,ES,82.4,30,20,4.7,42.25,-2.5,1600108114
grindavik,IS,50.0,71,20,9.17,63.84,-22.43,1600108115
mecca,SA,89.91,44,46,1.48,21.43,39.83,1600107864
naushki,RU,41.23,89,88,5.12,50.38,106.11,1600108115
mount gambier,AU,46.4,93,90,5.82,-37.83,140.77,1600108115
kenora,CA,55.4,58,75,11.41,49.82,-94.43,1600108061
sao paulo de olivenca,BR,95.9,41,36,1.12,-3.38,-68.87,1600108115
tabou,CI,76.78,85,88,11.3,4.42,-7.35,1600108115
chongwe,ZM,73.2,36,73,5.41,-15.33,28.68,1600108115
kaarina,FI,54.0,87,39,5.82,60.41,22.37,1600108116
bengkulu,ID,76.35,90,78,4.7,-3.8,102.27,1600108016
turan,VN,84.2,79,20,5.03,16.07,108.22,1600108116
soyo,AO,74.97,77,66,8.14,-6.13,12.37,1600108116
el prat de llobregat,ES,77.0,83,20,4.7,41.33,2.09,1600108116
pringsewu,ID,73.17,92,36,3.31,-5.36,104.97,1600108117
plast,RU,52.68,68,100,5.7,54.37,60.81,1600108117
egvekinot,RU,39.7,95,100,8.72,66.32,-179.17,1600108117
tulun,RU,46.4,92,94,10.71,54.56,100.58,1600108117
oranjestad,AW,91.4,66,20,13.87,12.52,-70.03,1600108117
dongli,CN,80.6,88,40,4.47,23.57,116.82,1600108118
pembroke,CA,55.4,47,75,11.41,45.82,-77.12,1600108118
verkhnyaya inta,RU,44.85,88,25,6.13,65.98,60.31,1600108118
ulladulla,AU,57.2,93,75,3.65,-35.35,150.47,1600108118
pokosnoye,RU,43.14,91,75,6.85,55.53,101.05,1600108119
ust-maya,RU,39.58,91,24,3.65,60.42,134.53,1600108119
keti bandar,PK,85.98,76,89,5.08,24.14,67.45,1600108119
kampot,KH,78.8,83,40,1.12,10.62,104.18,1600108119
longyearbyen,SJ,35.6,92,75,6.93,78.22,15.64,1600108119
pontiac,US,68.0,52,40,3.36,42.64,-83.29,1600108110
lisakovsk,KZ,58.98,40,65,13.69,52.54,62.49,1600108119
belen,TR,80.6,69,0,12.75,36.49,36.22,1600108119
pascagoula,US,84.2,70,75,11.41,30.37,-88.56,1600108121
muana,BR,93.87,39,50,4.9,-1.53,-49.22,1600107956
beringovskiy,RU,45.48,92,100,10.07,63.05,179.32,1600108121
saint anthony,US,72.0,64,1,12.75,45.02,-93.22,1600108121
khasan,RU,56.07,84,0,5.68,42.43,130.64,1600108121
qingdao,CN,71.01,94,85,4.47,36.1,120.37,1600108121
salalah,OM,80.6,88,75,5.82,17.02,54.09,1600107889
la romana,DO,89.6,62,40,9.17,18.43,-68.97,1600108121
sinjar,IQ,89.89,20,12,13.94,36.32,41.88,1600108122
garowe,SO,89.73,31,25,17.65,8.41,48.48,1600108122
starodub,RU,61.03,82,82,9.69,52.58,32.76,1600107823
nome,US,50.0,93,90,20.8,64.5,-165.41,1600108122
obernai,FR,77.0,60,99,1.12,48.46,7.48,1600108122
ahipara,NZ,56.37,82,38,13.67,-35.17,173.17,1600108122
cidreira,BR,60.28,58,100,16.15,-30.18,-50.21,1600108122
kolpashevo,RU,46.63,95,13,4.43,58.31,82.91,1600108123
shadrinsk,RU,54.45,64,100,11.27,56.09,63.63,1600108123
iranshahr,IR,89.6,8,0,13.87,27.2,60.68,1600108123
slidell,US,86.0,70,90,9.17,30.28,-89.78,1600108042
touros,BR,80.6,69,75,16.11,-5.2,-35.46,1600108107
caravelas,BR,79.07,61,17,9.26,-17.71,-39.25,1600108123
maua,BR,91.0,19,1,4.7,-23.67,-46.46,1600108123
cabinda,AO,75.18,78,73,7.99,-5.55,12.2,1600108124
krasnoborsk,RU,46.09,91,90,8.66,61.56,45.93,1600108124
smithers,CA,51.8,76,90,2.24,54.78,-127.17,1600108124
gusinoye ozero,RU,37.98,87,37,3.94,51.11,106.26,1600108124
comodoro rivadavia,AR,62.6,36,65,27.51,-45.87,-67.5,1600108115
margate,GB,68.0,64,0,1.99,51.38,1.39,1600107865
priargunsk,RU,44.87,77,8,1.48,50.37,119.1,1600108124
newport,GB,75.99,71,0,4.14,51.59,-3.0,1600107944
honningsvag,NO,48.2,87,90,8.05,70.98,25.97,1600108126
bereda,ES,69.01,88,75,5.99,43.27,-7.54,1600108126
maraa,BR,95.02,43,100,2.89,-1.83,-65.37,1600108126
esso,RU,37.29,83,97,7.76,55.93,158.7,1600108126
biak,ID,75.72,80,84,8.39,-0.91,122.88,1600108126
brateiu,RO,70.0,60,0,3.36,46.17,24.42,1600108126
melipilla,CL,78.8,54,0,6.93,-33.7,-71.22,1600108127
bajil,YE,91.45,54,14,3.62,15.06,43.29,1600108127
saint-georges,GD,87.8,74,40,11.41,12.06,-61.75,1600107980
cayenne,GF,91.4,46,56,9.35,4.93,-52.33,1600108127
mortka,RU,52.11,72,98,7.47,59.33,66.02,1600108127
kishorganj,BD,79.9,89,100,4.74,24.43,90.77,1600108127
khash,IR,64.83,25,0,8.52,28.22,61.22,1600108128
balikpapan,ID,76.87,90,96,10.58,-1.27,116.83,1600108128
catamarca,AR,67.41,30,52,24.92,-28.47,-65.79,1600108128
coihaique,CL,50.0,61,75,8.05,-45.58,-72.07,1600108123
kamenka,RU,54.57,56,29,6.4,51.32,42.77,1600108128
skelleftea,SE,52.0,57,0,11.41,64.75,20.95,1600108128
monrovia,LR,78.8,94,75,8.05,6.3,-10.8,1600108057
modasa,IN,80.47,85,100,7.09,23.47,73.3,1600108129
meadow lake,US,75.0,33,75,6.93,34.8,-106.54,1600108129
brooks,CA,58.91,51,100,10.07,50.58,-111.89,1600108129
orangeburg,US,91.4,49,20,8.05,33.49,-80.86,1600108129
libreville,GA,78.8,83,40,6.93,0.39,9.45,1600108129
hambantota,LK,80.35,78,96,16.42,6.12,81.12,1600108129
gornopravdinsk,RU,49.08,94,89,6.2,60.05,69.9,1600108130
miles city,US,68.0,45,1,6.93,46.41,-105.84,1600108130
belyy yar,RU,41.0,93,0,2.24,53.6,91.39,1600108130
tomatlan,MX,91.49,55,36,3.94,19.93,-105.25,1600108130
udachnyy,RU,42.8,78,14,2.24,66.42,112.4,1600108130
skibbereen,IE,60.8,93,75,10.29,51.55,-9.27,1600108130
taloqan,AF,57.36,36,27,2.15,36.74,69.53,1600108130
saquarema,BR,84.2,58,0,19.46,-22.92,-42.51,1600108131
wasilla,US,53.01,76,40,0.72,61.58,-149.44,1600108131
erzin,TR,82.99,77,2,0.69,36.96,36.2,1600108131
vodnyy,RU,44.87,96,94,4.45,63.5,53.41,1600108131
chokurdakh,RU,39.07,94,5,8.46,70.63,147.92,1600108062
nyurba,RU,48.47,74,100,2.77,63.28,118.33,1600108131
hervey bay,AU,61.0,91,0,3.0,-25.3,152.85,1600107979
moose factory,CA,51.8,57,75,10.29,51.26,-80.61,1600108131
surgana,IN,70.84,98,69,2.71,20.57,73.62,1600108132
ritchie,ZA,55.4,28,0,5.82,-29.04,24.6,1600108132
nemuro,JP,59.25,67,32,8.84,43.32,145.57,1600108132
abu samrah,SY,77.36,41,0,8.1,35.3,37.18,1600108132
san ramon,US,71.01,72,90,4.47,37.78,-121.98,1600107902
marsh harbour,BS,84.42,68,84,7.4,26.54,-77.06,1600108132
rafaela,AR,66.99,10,0,5.01,-31.25,-61.49,1600108132
niquero,CU,87.87,63,98,6.2,20.04,-77.58,1600108132
namatanai,PG,79.47,81,96,7.92,-3.67,152.43,1600108133
botro,CI,82.4,69,40,2.24,7.85,-5.31,1600108133
talara,PE,77.0,61,8,14.99,-4.58,-81.27,1600108133
maralal,KE,66.42,54,31,13.8,1.1,36.7,1600108133
los altos,US,70.0,82,90,3.36,37.39,-122.11,1600108133
rawson,AR,67.95,26,31,21.85,-43.3,-65.1,1600108133
vilhena,BR,93.2,23,39,10.29,-12.74,-60.15,1600108132
minab,IR,86.0,25,0,2.24,27.15,57.08,1600108133
dromolaxia,CY,82.4,65,0,11.41,34.88,33.59,1600108134
isla mujeres,MX,87.8,70,75,13.87,21.23,-86.73,1600108134
hofn,IS,46.4,81,75,10.29,64.25,-15.21,1600108134
mangrol,IN,81.43,84,40,9.64,21.12,70.12,1600108134
tornio,FI,53.6,62,24,10.29,65.85,24.15,1600108135
mayo,US,78.01,57,20,8.05,38.89,-76.51,1600108135
san andres,CO,86.0,79,75,3.36,12.58,-81.7,1600108105
anloga,GH,80.6,78,20,13.87,5.79,0.9,1600108135
bowen,AU,64.4,93,40,10.29,-20.02,148.23,1600107959
chuy,UY,56.93,52,0,11.36,-33.7,-53.46,1600107887
yago,MX,84.2,51,5,12.75,21.83,-105.07,1600108135
guaira,BR,97.83,12,11,5.84,-20.32,-48.31,1600108136
kloulklubed,PW,80.6,83,75,8.05,7.04,134.26,1600108136
