City,Country,Temperature,Humidity %,Cloudiness %,Wind Speed (mph),Latitude,Longitude,Date
faya,SA,66.2,59,56,1.95,18.39,42.45,1600221640
san vicente,AR,65.64,89,100,1.9,-26.62,-54.13,1600221641
dikson,RU,42.35,95,100,17.85,73.51,80.55,1600221375
broome,US,53.6,50,1,5.82,42.25,-75.83,1600221196
carnarvon,AU,69.8,77,40,24.16,-24.87,113.63,1600221381
ust-tsilma,RU,46.22,90,100,11.3,65.44,52.15,1600221641
new norfolk,AU,61.0,53,100,7.0,-42.78,147.06,1600221370
barrow,US,35.6,86,90,27.51,71.29,-156.79,1600221308
lorengau,PG,86.2,69,100,12.19,-2.02,147.27,1600221398
talara,PE,62.49,86,2,15.66,-4.58,-81.27,1600221641
yellowknife,CA,35.6,37,20,8.05,62.46,-114.35,1600221358
mar del plata,AR,53.6,54,20,9.17,-38.0,-57.56,1600221362
balkanabat,TM,65.91,51,0,4.61,39.51,54.37,1600221643
caucaia,BR,80.6,74,20,16.11,-3.74,-38.65,1600221643
wagar,SD,85.86,52,0,12.71,16.15,36.2,1600221643
cape town,ZA,48.99,93,0,9.17,-33.93,18.42,1600221363
bambous virieux,MU,69.01,64,75,9.17,-20.34,57.76,1600221354
shimoda,JP,77.0,88,75,10.29,34.67,138.95,1600221394
iqaluit,CA,35.6,93,75,8.05,63.75,-68.51,1600221376
bluff,NZ,52.0,82,99,13.0,-46.6,168.33,1600221365
biak,ID,81.43,67,99,8.46,-0.91,122.88,1600221645
capao da canoa,BR,59.25,85,100,13.49,-29.75,-50.01,1600221645
rabat,MA,71.6,88,75,4.7,33.99,-6.84,1600221645
rajanpur,PK,93.83,37,91,12.1,29.1,70.33,1600221493
turukhansk,RU,55.0,69,11,12.08,65.82,87.98,1600221406
muli,MV,82.17,77,94,8.23,2.92,73.57,1600221646
vaini,TO,77.0,73,20,12.75,-21.2,-175.2,1600221354
tromso,NO,44.6,93,75,9.17,69.65,18.96,1600221646
hobart,AU,62.6,42,75,20.8,-42.88,147.33,1600221356
atuona,PF,78.35,76,0,17.2,-9.8,-139.03,1600221354
cockburn town,TC,82.4,74,40,11.41,21.46,-71.14,1600221610
floro,NO,50.0,76,87,26.4,61.6,5.03,1600221647
asau,RO,54.0,92,0,2.26,46.43,26.4,1600221383
macenta,GN,68.11,98,50,2.24,8.54,-9.47,1600221647
chokurdakh,RU,41.63,66,98,6.98,70.63,147.92,1600221351
ponta do sol,PT,73.4,73,40,2.19,32.67,-17.1,1600221387
kojnare,BG,64.4,72,5,2.24,43.35,24.13,1600221648
georgetown,MY,84.2,88,20,3.36,5.41,100.34,1600221146
general roca,AR,59.0,67,75,3.36,-39.03,-67.58,1600221648
seoul,KR,73.4,78,90,6.42,37.57,126.98,1600221602
vila velha,BR,75.99,83,75,9.17,-20.33,-40.29,1600221185
awjilah,LY,83.43,31,0,10.65,29.11,21.29,1600221648
juneau,US,62.6,39,40,4.7,58.3,-134.42,1600221648
salekhard,RU,45.21,94,100,6.67,66.53,66.6,1600221649
hofn,IS,48.4,63,96,2.66,64.25,-15.21,1600221384
nikolskoye,RU,45.0,93,91,4.47,59.7,30.79,1600221359
tuktoyaktuk,CA,39.2,82,20,10.29,69.45,-133.04,1600221363
yerbogachen,RU,54.97,59,9,2.24,61.28,108.01,1600221403
najran,SA,77.0,22,64,1.72,17.49,44.13,1600221649
torbay,CA,50.0,70,90,10.29,47.67,-52.73,1600221180
raga,SS,68.4,93,100,3.62,8.46,25.68,1600221650
salalah,OM,80.6,88,40,2.24,17.02,54.09,1600221380
puerto ayora,EC,66.99,91,55,5.01,-0.74,-90.35,1600221355
codrington,AU,62.73,64,100,11.03,-38.27,141.97,1600221412
kaitangata,NZ,57.0,49,94,34.0,-46.28,169.85,1600221352
ust-nera,RU,45.0,59,98,6.55,64.57,143.2,1600221651
narsaq,GL,42.8,81,100,3.36,60.92,-46.05,1600221377
castro,BR,54.41,90,58,5.03,-24.79,-50.01,1600221361
sioux lookout,CA,55.4,76,90,5.82,50.1,-91.92,1600221652
ucluelet,CA,64.4,93,90,2.24,48.93,-125.55,1600221639
juazeiro,BR,80.6,51,3,11.41,-9.41,-40.5,1600221652
namibe,AO,59.54,81,0,5.84,-15.2,12.15,1600221359
mareeba,AU,82.0,57,38,7.0,-17.0,145.43,1600221653
lavrentiya,RU,46.27,85,94,13.22,65.58,-171.0,1600221369
talnakh,RU,57.2,62,94,13.42,69.49,88.4,1600221378
mahebourg,MU,68.0,64,75,9.17,-20.41,57.7,1600221350
lovozero,RU,38.08,87,74,3.44,68.0,35.01,1600221653
severo-kurilsk,RU,56.84,58,78,11.86,50.68,156.12,1600221360
sosnovo-ozerskoye,RU,48.0,74,0,4.34,52.52,111.54,1600221654
pacific grove,US,64.99,85,32,2.35,36.62,-121.92,1600221440
hirara,JP,87.8,79,75,11.41,24.8,125.28,1600221382
pandan,PH,84.65,78,100,8.97,14.05,124.17,1600221655
cabo san lucas,MX,86.0,78,20,17.22,22.89,-109.91,1600221360
thompson,CA,41.0,86,75,9.17,55.74,-97.86,1600221362
tiksi,RU,43.99,73,50,1.88,71.69,128.87,1600221391
santa rosa,PH,84.2,79,75,5.82,14.31,121.11,1600221385
puerto baquerizo moreno,EC,65.86,89,62,12.17,-0.9,-89.6,1600221655
capreol,CA,60.01,87,90,17.22,46.71,-80.92,1600221655
bubaque,GW,80.06,85,100,10.42,11.28,-15.83,1600221655
jaguarari,BR,66.16,88,25,11.1,-10.26,-40.2,1600221657
jeremie,HT,81.95,78,15,4.5,18.65,-74.12,1600221657
la ronge,CA,44.6,65,75,14.99,55.1,-105.28,1600221381
banda aceh,ID,84.02,64,66,10.29,5.56,95.32,1600221657
port elizabeth,ZA,57.2,93,90,5.82,-33.92,25.57,1600221362
tukrah,LY,83.52,45,69,25.34,32.53,20.58,1600221658
seminole,US,81.0,88,1,3.36,28.71,-81.21,1600221658
isangel,VU,82.4,61,75,11.41,-19.55,169.27,1600221658
san jose,US,73.4,56,90,11.41,37.34,-121.89,1600221391
crotone,IT,74.73,56,76,11.12,39.09,17.12,1600221658
golynki,RU,53.01,96,90,2.04,54.87,31.39,1600221659
bairiki,KI,87.8,66,40,13.87,1.33,172.98,1600221361
pevek,RU,43.05,79,98,5.3,69.7,170.31,1600221359
guerrero negro,MX,78.04,56,0,17.29,27.98,-114.06,1600221659
wajima,JP,77.0,61,75,4.7,37.4,136.9,1600221659
jinchang,CN,61.39,27,6,4.61,38.5,102.17,1600221380
maromitsa,RU,44.53,97,100,10.16,59.87,48.01,1600221659
saint-philippe,RE,66.2,55,90,6.93,-21.36,55.77,1600221371
dakar,SN,80.6,88,20,2.24,14.69,-17.44,1600221639
buchanan,LR,75.16,91,88,5.44,5.88,-10.05,1600221407
grindavik,IS,46.4,81,90,14.99,63.84,-22.43,1600221368
saskylakh,RU,51.1,67,100,5.41,71.92,114.08,1600221350
port macquarie,AU,73.99,62,0,4.0,-31.43,152.92,1600221394
chuy,UY,51.33,87,100,4.0,-33.7,-53.46,1600221374
saint george,US,96.8,7,1,14.99,37.1,-113.58,1600221215
qaanaaq,GL,19.42,78,0,7.29,77.48,-69.36,1600221363
muros,ES,59.0,93,74,1.99,42.78,-9.06,1600221364
ribeira grande,PT,65.66,62,88,13.56,38.52,-28.7,1600221370
hithadhoo,MV,81.63,71,100,8.57,-0.6,73.08,1600221364
waipawa,NZ,59.0,51,0,20.8,-41.41,175.52,1600221662
iranshahr,IR,74.39,18,43,1.66,27.2,60.68,1600221662
baruun-urt,MN,48.67,75,100,19.06,46.68,113.28,1600221663
malanje,AO,66.47,79,15,6.91,-9.54,16.34,1600221663
clyde river,CA,33.8,95,90,11.41,70.47,-68.59,1600221352
hambantota,LK,78.8,100,75,4.7,6.12,81.12,1600221408
port keats,AU,88.03,46,100,8.48,-14.25,129.55,1600221401
port alfred,ZA,57.52,87,43,7.34,-33.59,26.89,1600221361
bengkulu,ID,76.78,84,99,1.5,-3.8,102.27,1600221379
rio gallegos,AR,33.8,69,0,11.41,-51.62,-69.22,1600221504
uren,RU,45.43,87,100,11.3,57.46,45.79,1600221664
klaksvik,FO,42.8,93,0,1.12,62.23,-6.59,1600221371
pacifica,US,66.2,72,20,23.04,37.61,-122.49,1600221665
miles city,US,73.4,38,75,10.29,46.41,-105.84,1600221665
luena,AO,61.59,78,0,3.15,-11.78,19.92,1600221665
zhangjiakou,CN,57.09,38,0,23.6,40.81,114.88,1600221667
manokwari,ID,83.68,69,100,5.01,-0.87,134.08,1600221667
johi,PK,90.72,50,38,1.79,26.69,67.61,1600221667
east london,ZA,61.63,84,99,10.87,-33.02,27.91,1600221362
souillac,MU,68.0,64,75,9.17,-20.52,57.52,1600221355
geraldton,AU,68.0,64,75,24.16,-28.77,114.6,1600221359
nyurba,RU,56.86,60,0,1.54,63.28,118.33,1600221394
awbari,LY,73.76,41,0,8.08,26.59,12.78,1600221618
gairo,IT,73.4,43,5,11.41,39.85,9.5,1600221669
marti,CU,75.2,100,75,6.93,22.95,-80.92,1600221669
pangnirtung,CA,35.1,76,100,4.97,66.15,-65.71,1600221367
egvekinot,RU,44.1,78,100,19.73,66.32,-179.17,1600221389
talawakele,LK,66.33,92,100,5.55,6.94,80.66,1600221670
deep river,CA,55.4,76,75,9.17,46.1,-77.5,1600221670
dera ghazi khan,PK,92.53,32,90,3.71,30.06,70.63,1600221670
mahibadhoo,MV,82.36,76,100,6.76,3.78,72.97,1600221671
rafai,CF,67.93,99,100,2.86,4.95,23.92,1600221671
kavieng,PG,84.45,76,75,15.99,-2.57,150.8,1600221355
suhbaatar,MN,47.61,75,92,4.94,50.23,106.21,1600221672
lebu,CL,49.32,95,85,3.2,-37.62,-73.65,1600221357
basco,PH,84.85,80,55,19.24,20.45,121.97,1600221672
athabasca,CA,43.47,69,65,4.92,54.72,-113.29,1600221579
butte,US,89.6,25,1,9.17,39.65,-121.57,1600221672
ilulissat,GL,44.6,56,100,9.17,69.22,-51.1,1600221673
istanbul,TR,73.4,73,0,11.41,41.04,28.98,1600221434
gidam,IN,78.31,87,22,0.38,18.98,81.4,1600221674
ahipara,NZ,61.34,69,2,10.98,-35.17,173.17,1600221382
marathon,US,66.99,82,1,5.82,44.9,-89.77,1600221674
ulladulla,AU,77.0,41,70,8.05,-35.35,150.47,1600221389
imbituba,BR,62.6,77,75,4.7,-28.24,-48.67,1600221674
sao joao da barra,BR,71.82,88,4,7.18,-21.64,-41.05,1600221675
makakilo city,US,89.6,58,20,14.99,21.35,-158.09,1600221384
saint-augustin,CA,45.59,57,0,9.95,51.23,-58.65,1600221380
melbu,NO,45.0,92,100,5.01,68.5,14.83,1600221675
vila,PT,57.0,92,42,2.86,42.03,-8.16,1600221353
yilan,TW,93.2,63,40,3.36,24.76,121.75,1600221676
tome,CL,53.6,93,90,5.82,-36.62,-72.95,1600221676
manzanillo,CU,77.85,89,26,9.44,20.34,-77.12,1600221551
cherskiy,RU,43.2,77,100,2.55,68.75,161.3,1600221372
svetlogorsk,BY,56.05,94,100,2.89,52.63,29.73,1600221406
arkhangelsk,RU,39.2,93,2,4.47,64.54,40.54,1600221676
iguguno,TZ,59.94,79,100,9.48,-4.57,34.63,1600221676
te anau,NZ,46.89,85,98,8.32,-45.42,167.72,1600221105
butaritari,KI,83.82,74,33,16.71,3.07,172.79,1600221355
santa maria,BR,53.6,100,90,5.82,-29.68,-53.81,1600221402
bay roberts,CA,50.0,69,100,13.67,47.6,-53.26,1600221677
rio grande,BR,57.97,84,100,5.53,-32.03,-52.1,1600221677
sao filipe,CV,79.54,82,93,6.69,14.9,-24.5,1600221351
carlos barbosa,BR,57.99,91,100,1.66,-29.3,-51.5,1600221655
camacupa,AO,64.63,63,6,6.2,-12.02,17.48,1600221678
constitucion,CL,51.39,87,100,4.88,-35.33,-72.42,1600221362
pisco,PE,62.6,82,94,13.87,-13.7,-76.22,1600221373
saravan,AM,69.8,52,0,6.93,39.72,45.65,1600221678
sandpoint,US,71.01,77,1,1.97,48.28,-116.55,1600221678
urumqi,CN,66.2,37,0,8.95,43.8,87.6,1600221679
cherepovets,RU,46.4,93,40,2.24,59.13,37.9,1600221679
nome,US,48.99,93,90,18.34,64.5,-165.41,1600221403
codajas,BR,79.18,67,89,3.6,-3.84,-62.06,1600221679
krutaya gorka,RU,46.4,81,0,11.18,55.36,73.22,1600221679
bridlington,GB,62.01,93,99,3.36,54.08,-0.19,1600221680
trincomalee,LK,82.22,75,23,16.75,8.57,81.23,1600221680
sisimiut,GL,38.97,89,100,8.23,66.94,-53.67,1600221680
ola,RU,54.75,58,16,1.61,59.58,151.28,1600221383
hasaki,JP,80.01,78,75,10.29,35.73,140.83,1600221354
caravelas,BR,71.55,93,1,5.1,-17.71,-39.25,1600221369
pochutla,MX,79.0,85,100,1.83,15.74,-96.47,1600221680
liuzhou,CN,85.73,72,36,3.36,24.31,109.39,1600221681
bismarck,US,66.2,59,90,6.93,46.81,-100.78,1600221551
sobolevo,RU,53.4,96,52,2.46,54.43,31.9,1600221681
airai,TL,75.87,36,76,5.06,-8.93,125.41,1600221374
cidreira,BR,59.11,89,100,22.95,-30.18,-50.21,1600221382
suoyarvi,RU,40.32,92,98,0.65,62.08,32.35,1600221681
oussouye,SN,78.8,100,75,4.7,12.48,-16.55,1600221681
valley station,US,68.0,60,20,5.82,38.11,-85.87,1600221682
donghai,CN,86.0,81,16,9.55,22.95,115.64,1600221682
marzuq,YE,79.23,40,4,3.44,14.4,46.47,1600221682
marilia,BR,71.6,78,0,10.29,-22.21,-49.95,1600221682
beirut,LB,80.6,74,1,5.82,33.89,35.49,1600221326
boa vista,BR,78.8,74,75,3.36,2.82,-60.67,1600221683
oranjemund,NA,51.75,89,0,2.53,-28.55,16.43,1600221683
hyeres,FR,66.2,82,0,2.24,43.12,6.12,1600221683
provideniya,RU,51.8,71,90,6.71,64.38,-173.3,1600221375
srednekolymsk,RU,42.39,86,100,7.29,67.45,153.68,1600221375
parrita,CR,69.8,88,100,6.93,9.52,-84.32,1600221684
batticaloa,LK,81.93,71,70,3.91,7.71,81.69,1600221373
hohhot,CN,53.6,38,0,2.24,40.81,111.65,1600221399
labuan,MY,82.4,74,20,5.82,5.28,115.24,1600221602
grand gaube,MU,69.01,61,43,5.01,-20.01,57.66,1600221379
claresholm,CA,54.0,66,100,14.99,50.03,-113.59,1600221602
maridi,SS,67.95,95,99,2.19,4.92,29.47,1600221684
narrabri,AU,75.2,36,40,14.99,-30.32,149.78,1600221684
neiafu,TO,78.8,74,75,12.75,-18.65,-173.98,1600221412
evensk,RU,50.95,54,65,5.41,61.95,159.23,1600221685
leningradskiy,RU,38.28,91,100,7.0,69.38,178.42,1600221388
mount isa,AU,86.0,19,0,11.41,-20.73,139.5,1600221381
luwuk,ID,83.17,62,100,7.56,-0.95,122.79,1600221686
paamiut,GL,45.64,73,100,24.18,61.99,-49.67,1600221393
harper,LR,75.25,88,94,9.19,4.38,-7.72,1600221686
kodiak,US,56.43,89,36,6.69,57.79,-152.41,1600221368
kourou,GF,78.8,88,100,2.24,5.16,-52.65,1600221605
lazaro cardenas,MX,80.17,81,100,3.47,17.96,-102.2,1600221405
marabba,SD,77.05,77,96,10.02,12.35,32.18,1600221688
kudahuvadhoo,MV,82.38,77,100,9.06,2.67,72.89,1600221689
bakaly,RU,46.04,91,94,13.06,55.18,53.8,1600221689
acapulco,MX,82.4,78,75,2.24,16.86,-99.89,1600221374
sur,OM,80.02,61,77,3.89,22.57,59.53,1600221395
khatanga,RU,51.69,76,100,6.76,71.97,102.5,1600221350
bintulu,MY,78.8,88,40,3.36,3.17,113.03,1600221690
husavik,IS,41.0,80,100,5.82,66.04,-17.34,1600221396
krasnoselkup,RU,51.51,77,14,13.76,65.7,82.47,1600221377
kerman,IR,51.8,27,0,6.93,30.28,57.08,1600221690
chernyshevsk,RU,56.46,58,99,6.17,52.52,117.02,1600221690
progreso,MX,81.0,94,75,5.17,21.28,-89.67,1600221391
safaga,EG,84.2,39,0,8.05,26.73,33.94,1600221690
brokopondo,SR,77.2,88,100,5.03,4.75,-55.17,1600221691
griffith,US,64.0,82,1,4.7,41.53,-87.42,1600221691
mackay,AU,75.2,69,75,19.46,-21.15,149.2,1600221691
itupeva,BR,64.4,77,32,19.46,-23.15,-47.06,1600221691
puerto escondido,MX,80.65,77,100,3.09,15.85,-97.07,1600221691
vanimo,PG,86.58,62,8,7.4,-2.67,141.3,1600221691
port hardy,CA,68.0,68,90,8.05,50.7,-127.42,1600221692
kindu,CD,70.09,96,92,1.14,-2.95,25.95,1600221692
baykit,RU,55.4,64,36,3.98,61.67,96.37,1600221375
fortuna,US,73.99,78,1,12.75,40.6,-124.16,1600221245
valley,US,70.0,34,90,4.7,45.13,-116.13,1600221692
chiusi,IT,68.0,79,49,2.01,43.02,11.95,1600221692
terrace,CA,66.2,52,20,2.24,54.52,-128.6,1600221692
norman wells,CA,50.0,57,20,9.17,65.28,-126.83,1600221377
praya,CV,78.96,84,68,6.8,14.92,-23.51,1600221693
richards bay,ZA,64.99,84,88,4.81,-28.78,32.04,1600221693
bonthe,SL,76.48,89,100,3.78,7.53,-12.51,1600221693
roebourne,AU,91.94,20,15,3.87,-20.78,117.13,1600221693
bandrele,YT,73.4,83,40,3.36,-12.91,45.19,1600221693
irece,BR,66.63,76,54,14.94,-11.3,-41.86,1600221637
miranda,CO,73.4,69,40,18.34,3.25,-76.23,1600221383
crossville,US,70.0,88,75,0.89,35.95,-85.03,1600221694
matara,LK,79.93,85,54,11.07,5.95,80.54,1600221694
skjervoy,NO,46.36,85,100,2.08,70.03,20.97,1600221391
benguela,AO,69.15,86,27,4.07,-12.58,13.41,1600221379
dawlatabad,AF,62.47,29,0,5.06,36.41,64.91,1600221694
amapa,BR,74.84,78,59,4.38,1.0,-52.0,1600221695
mayo,US,59.0,93,1,5.03,38.89,-76.51,1600221395
jizan,SA,82.4,78,31,1.81,17.33,42.67,1600221695
visby,SE,59.0,87,22,8.05,57.64,18.3,1600221695
pemangkat,ID,82.49,75,40,6.8,1.17,108.97,1600221696
faanui,PF,78.06,78,0,15.08,-16.48,-151.75,1600221353
sorland,NO,48.45,81,100,23.87,67.67,12.69,1600221368
suileng,CN,57.06,90,100,14.5,47.25,127.08,1600221696
healdsburg,US,75.2,53,1,10.29,38.61,-122.87,1600221696
nouadhibou,MR,76.57,77,0,9.42,20.93,-17.03,1600221696
sandwick,GB,48.2,87,3,12.75,60.0,-1.25,1600221696
yerakion,GR,75.99,68,0,7.27,37.0,22.7,1600221697
elie,GB,59.0,82,75,8.05,56.19,-2.82,1600221697
butka,RU,51.4,96,100,10.07,56.72,63.79,1600221697
walvis bay,NA,51.01,87,0,3.36,-22.96,14.51,1600221697
ilheus,BR,71.87,91,16,5.75,-14.79,-39.05,1600221577
brumado,BR,70.83,68,0,8.5,-14.2,-41.67,1600221634
doha,QA,91.0,70,0,3.36,25.29,51.53,1600221187
luderitz,NA,52.05,72,0,12.08,-26.65,15.16,1600221393
slantsy,RU,48.33,76,71,5.5,59.12,28.09,1600221698
quatre cocos,MU,69.01,64,75,9.17,-20.21,57.76,1600221397
sitka,US,59.0,72,20,3.36,57.05,-135.33,1600221397
calama,CL,55.4,15,15,4.7,-22.47,-68.93,1600221698
namatanai,PG,84.25,74,61,11.23,-3.67,152.43,1600221698
sibolga,ID,83.55,62,98,1.05,1.74,98.78,1600221699
haines junction,CA,54.48,44,90,4.54,60.75,-137.51,1600221699
rio de jesus,PA,76.55,92,100,3.09,7.98,-81.16,1600221699
waingapu,ID,85.26,52,100,13.44,-9.66,120.26,1600221700
kashi,CN,60.8,59,0,8.95,39.45,75.98,1600221700
bibiani,GH,69.87,99,100,3.06,6.46,-2.32,1600221600
broken hill,AU,78.8,22,12,9.17,-31.95,141.43,1600221362
nuuk,GL,42.8,93,99,5.82,64.18,-51.72,1600221399
lata,PT,63.0,82,0,1.5,40.16,-8.33,1600221352
yar-sale,RU,49.12,90,99,6.8,66.83,70.83,1600221700
eureka,US,70.0,85,60,1.01,40.8,-124.16,1600221700
dongsheng,CN,53.35,41,33,21.23,39.82,109.98,1600221701
tura,IN,73.85,98,100,4.14,25.52,90.22,1600221372
ostrovnoy,RU,42.73,78,99,12.26,68.05,39.51,1600221365
katsuura,JP,80.01,73,75,5.82,35.13,140.3,1600221377
yablonovo,RU,55.4,93,2,6.71,50.85,37.36,1600221702
camocim,BR,77.04,77,0,15.14,-2.9,-40.84,1600221702
assiniboia,CA,56.26,53,62,8.12,49.63,-105.98,1600221702
semenivka,UA,54.03,93,26,4.45,52.18,32.58,1600221703
san quintin,MX,77.49,53,0,10.25,30.48,-115.95,1600221703
jacareacanga,BR,79.68,32,57,1.54,-6.22,-57.75,1600221704
vao,NC,68.04,73,38,22.12,-22.67,167.48,1600221355
naliya,IN,82.92,84,91,9.51,23.27,68.83,1600221704
baft,IR,55.87,33,0,7.34,29.23,56.61,1600221704
moosomin,CA,54.52,62,96,7.99,50.13,-101.67,1600221705
manosque,FR,60.01,85,0,1.01,43.83,5.79,1600221705
vaitape,PF,78.93,76,0,15.01,-16.52,-151.75,1600221705
hobyo,SO,76.87,84,6,18.75,5.35,48.53,1600221358
banjar,ID,77.0,100,75,5.82,-8.19,114.97,1600221705
marsa matruh,EG,77.0,78,40,9.35,31.35,27.25,1600221706
chara,RU,45.12,76,97,6.17,56.91,118.26,1600221382
bongandanga,CD,69.66,97,100,2.01,1.5,21.05,1600221706
jining,CN,75.6,75,49,4.45,35.41,116.58,1600221706
howard springs,AU,90.0,35,40,11.41,-12.5,131.05,1600221706
verkhoyansk,RU,48.6,61,19,3.87,67.54,133.38,1600221375
samarai,PG,79.54,87,98,11.72,-10.62,150.67,1600221706
vani,GE,71.6,94,75,4.7,42.08,42.52,1600221707
ganzhou,CN,73.98,91,100,3.2,28.82,115.43,1600221707
kachiry,KZ,55.29,59,0,14.65,53.07,76.1,1600221707
mutata,CO,75.09,84,100,1.32,7.24,-76.44,1600221707
taoudenni,ML,98.69,14,0,16.71,22.68,-3.98,1600221350
kuching,MY,80.6,88,20,3.36,1.55,110.33,1600221707
whitehorse,CA,60.8,52,75,12.75,60.72,-135.05,1600221708
sawakin,SD,86.52,69,1,8.16,19.11,37.33,1600221708
gazanjyk,TM,63.05,60,0,1.28,39.24,55.52,1600221708
adrar,MR,96.04,16,2,3.02,20.5,-10.07,1600221708
zima,RU,53.53,65,3,1.86,53.92,102.04,1600221708
nanortalik,GL,43.18,92,100,18.5,60.14,-45.24,1600221395
oksfjord,NO,44.6,93,97,3.36,70.24,22.35,1600221708
carroll,US,55.4,76,1,4.05,39.55,-77.02,1600221709
santo angelo,BR,57.2,100,100,4.7,-28.3,-54.26,1600221709
sambava,MG,67.59,81,3,11.41,-14.27,50.17,1600221400
laguna,US,89.6,25,1,4.7,38.42,-121.42,1600221709
saldanha,ZA,51.15,70,2,4.23,-33.01,17.94,1600221383
noumea,NC,77.0,50,90,16.11,-22.28,166.46,1600221710
santa cruz del sur,CU,79.88,86,89,12.53,20.71,-78.0,1600221710
bossangoa,CF,69.57,96,87,1.23,6.49,17.46,1600221710
batemans bay,AU,69.01,57,40,8.01,-35.72,150.18,1600221393
beoumi,CI,71.85,94,5,5.86,7.67,-5.58,1600221710
lanzhou,CN,55.4,62,97,4.47,36.06,103.79,1600221710
konevo,RU,39.16,97,23,3.51,62.12,39.32,1600221711
palmerston,AU,95.0,35,40,11.41,-12.49,130.98,1600221711
boffa,GN,75.25,93,100,0.45,10.17,-14.03,1600221711
bereda,ES,60.01,100,2,1.01,43.27,-7.54,1600221711
coahuayana,MX,78.75,87,100,2.39,18.73,-103.68,1600221408
lakes entrance,AU,64.99,58,100,1.01,-37.88,147.98,1600221409
rognan,NO,39.99,95,100,3.49,67.1,15.39,1600221712
charlestown,AU,80.01,54,0,7.43,-32.95,151.67,1600221712
kroya,ID,80.78,64,91,4.92,-7.63,109.25,1600221712
rawson,AR,46.08,57,26,8.79,-43.3,-65.1,1600221564
blagoyevo,RU,45.91,88,100,11.23,63.37,47.92,1600221713
lar,IN,80.35,87,35,8.63,26.2,83.97,1600221714
chipinge,ZW,62.2,66,0,4.9,-20.19,32.62,1600221714
montepuez,MZ,64.36,98,24,3.49,-13.13,39.0,1600221714
kulhudhuffushi,MV,81.77,78,88,11.32,6.62,73.07,1600221715
maneadero,MX,72.0,84,0,1.01,31.72,-116.57,1600221715
kununurra,AU,91.4,38,100,8.05,-15.77,128.73,1600221358
alofi,NU,77.0,69,75,19.46,-19.06,-169.92,1600221383
umba,RU,42.62,84,76,5.66,66.69,34.34,1600221715
cedar city,US,82.4,10,1,4.7,37.68,-113.06,1600221613
rudolstadt,DE,64.99,82,10,10.29,50.72,11.33,1600221715
tessalit,ML,93.49,14,85,7.07,20.2,1.01,1600221392
cuamba,MZ,71.49,56,15,6.02,-14.8,36.54,1600221717
mount gambier,AU,62.6,63,40,13.87,-37.83,140.77,1600221360
kieta,PG,81.28,71,100,2.42,-6.22,155.63,1600221717
tilichiki,RU,48.69,67,85,11.12,60.47,166.1,1600221718
obo,CF,67.6,96,100,2.57,5.4,26.49,1600221718
margate,GB,66.99,97,99,1.99,51.38,1.39,1600221720
plouzane,FR,59.0,100,90,4.7,48.38,-4.62,1600221720
atikokan,CA,55.94,79,100,1.9,48.76,-91.62,1600221720
saint-leu,RE,66.2,55,90,6.93,-21.15,55.28,1600221721
nunchia,CO,72.64,85,100,3.2,5.64,-72.2,1600221722
barcelos,PT,64.0,93,72,5.82,41.54,-8.62,1600221382
inhambane,MZ,73.0,87,72,7.74,-23.86,35.38,1600221367
necochea,AR,50.0,67,72,4.0,-38.55,-58.74,1600221377
